1985	12	105.6
1986	1	109.6
1986	2	109.3
1986	3	108.8
1986	4	108.6
1986	5	108.9
1986	6	109.5
1986	7	109.5
1986	8	109.7
1986	9	110.2
1986	10	110.3
1986	11	110.4
1986	12	110.5
1987	1	111.2
1987	2	111.6
1987	3	112.1
1987	4	112.7
1987	5	113.1
1987	6	113.5
1987	7	113.8
1987	8	114.4
1987	9	115
1987	10	115.3
1987	11	115.4
1987	12	115.4
1988	1	115.7
1988	2	116
1988	3	116.5
1988	4	117.1
1988	5	117.5
1988	6	118
1988	7	118.5
1988	8	119
1988	9	119.8
1988	10	120.2
1988	11	120.3
1988	12	120.5
1989	1	121.1
1989	2	121.6
1989	3	122.3
1989	4	123.1
1989	5	123.8
1989	6	124.1
1989	7	124.4
1989	8	124.6
1989	9	125
1989	10	125.6
1989	11	125.9
1989	12	126.1
1990	1	127.4
1990	2	128
1990	3	128.7
1990	4	128.9
1990	5	129.2
1990	6	129.9
1990	7	130.4
1990	8	131.6
1990	9	132.7
1990	10	133.5
1990	11	133.8
1990	12	133.8
1991	1	134.6
1991	2	134.8
1991	3	135
1991	4	135.2
1991	5	135.6
1991	6	136
1991	7	136.2
1991	8	136.6
1991	9	137.2
1991	10	137.4
1991	11	137.8
1991	12	137.9
1992	1	138.1
1992	2	138.6
1992	3	139.3
1992	4	139.5
1992	5	139.7
1992	6	140.2
1992	7	140.5
1992	8	140.9
1992	9	141.3
1992	10	141.8
1992	11	142
1992	12	141.9
1993	1	142.6
1993	2	143.1
1993	3	143.6
1993	4	144
1993	5	144.2
1993	6	144.4
1993	7	144.4
1993	8	144.8
1993	9	145.1
1993	10	145.7
1993	11	145.8
1993	12	145.8
1994	1	146.2
1994	2	146.7
1994	3	147.2
1994	4	147.4
1994	5	147.5
1994	6	148
1994	7	148.4
1994	8	149
1994	9	149.4
1994	10	149.5
1994	11	149.7
1994	12	149.7
1995	1	150.3
1995	2	150.9
1995	3	151.4
1995	4	151.9
1995	5	152.2
1995	6	152.5
1995	7	152.5
1995	8	152.9
1995	9	153.2
1995	10	153.7
1995	11	153.6
1995	12	153.5
1996	1	154.4
1996	2	154.9
1996	3	155.7
1996	4	156.3
1996	5	156.6
1996	6	156.7
1996	7	157
1996	8	157.3
1996	9	157.8
1996	10	158.3
1996	11	158.6
1996	12	158.6
1997	1	159.1
1997	2	159.6
1997	3	160
1997	4	160.2
1997	5	160.1
1997	6	160.3
1997	7	160.5
1997	8	160.8
1997	9	161.2
1997	10	161.6
1997	11	161.5
1997	12	161.3
1998	1	161.6
1998	2	161.9
1998	3	162.2
1998	4	162.5
1998	5	162.8
1998	6	163
1998	7	163.2
1998	8	163.4
1998	9	163.6
1998	10	164
1998	11	164
1998	12	163.9
1999	1	164.3
1999	2	164.5
1999	3	165
1999	4	166.2
1999	5	166.2
1999	6	166.2
1999	7	166.7
1999	8	167.1
1999	9	167.9
1999	10	168.2
1999	11	168.3
1999	12	168.3
2000	1	168.8
2000	2	169.8
2000	3	171.2
2000	4	171.3
2000	5	171.5
2000	6	172.4
2000	7	172.8
2000	8	172.8
2000	9	173.7
2000	10	174
2000	11	174.1
2000	12	174
2001	1	175.1
2001	2	175.8
2001	3	176.2
2001	4	176.9
2001	5	177.7
2001	6	178
2001	7	177.5
2001	8	177.5
2001	9	178.3
2001	10	177.7
2001	11	177.4
2001	12	176.7
2002	1	177.1
2002	2	177.8
2002	3	178.8
2002	4	179.8
2002	5	179.8
2002	6	179.9
2002	7	180.1
2002	8	180.7
2002	9	181
2002	10	181.3
2002	11	181.3
2002	12	180.9
2003	1	181.7
2003	2	183.1
2003	3	184.2
2003	4	183.8
2003	5	183.5
2003	6	183.7
2003	7	183.9
2003	8	184.6
2003	9	185.2
2003	10	185
2003	11	184.5
2003	12	184.3
2004	1	185.2
2004	2	186.2
2004	3	187.4
2004	4	188
2004	5	189.1
2004	6	189.7
2004	7	189.4
2004	8	189.5
2004	9	189.9
2004	10	190.9
2004	11	191
2004	12	190.3
2005	1	190.7
2005	2	191.8
2005	3	193.3
2005	4	194.6
2005	5	194.4
2005	6	194.5
2005	7	195.4
2005	8	196.4
2005	9	198.8
2005	10	199.2
2005	11	197.6
2005	12	196.8
2006	1	198.3
2006	2	198.7
2006	3	199.8
2006	4	201.5
2006	5	202.5
2006	6	202.9
2006	7	203.5
2006	8	203.9
2006	9	202.9
2006	10	201.8
2006	11	201.5
2006	12	201.8
2007	1	202.4
2007	2	203.5
2007	3	205.4
2007	4	206.7
2007	5	207.9
2007	6	208.4
2007	7	208.3
2007	8	207.9
2007	9	208.5
2007	10	208.9
2007	11	210.2
2007	12	210
2008	1	211.1
2008	2	211.7
2008	3	213.5
2008	4	214.8
2008	5	216.6
2008	6	218.8
2008	7	219.964
2008	8	219.086
2008	9	218.783
2008	10	216.573
2008	11	212.425
2008	12	210.228
2009	1	211.143
2009	2	212.193
2009	3	212.709
2009	4	213.24
2009	5	213.856
2009	6	215.693
2009	7	215.351
2009	8	215.834
2009	9	215.969
2009	10	216.177
2009	11	216.33
2009	12	215.949
2010	1	216.687
2010	2	216.741
2010	3	217.631
2010	4	218.009
2010	5	218.178
2010	6	217.965
2010	7	218.011
2010	8	218.312
2010	9	218.439
2010	10	218.711
2010	11	218.803
2010	12	219.179
2011	1	220.223
2011	2	221.309
2011	3	223.467
2011	4	224.906
2011	5	225.964
2011	6	225.722
2011	7	225.922
2011	8	226.545
2011	9	226.889
2011	10	226.421
2011	11	226.23
2011	12	225.672
2012	1	226.655
2012	2	227.663
2012	3	229.392
2012	4	230.085
2012	5	229.815
2012	6	229.478
2012	7	229.104
2012	8	230.379
2012	9	231.407
2012	10	231.317
2012	11	230.221
2012	12	229.601
2013	1	230.28
2013	2	232.166
2013	3	232.773
2013	4	232.531
2013	5	232.945
